,prediccion
0,No
1,Yes
2,No
3,Yes
4,Yes
5,No
6,No
7,No
8,No
9,No
10,No
11,No
12,No
13,No
14,No
15,No
16,No
17,No
18,Yes
19,No
20,Yes
21,No
22,No
23,No
24,Yes
25,Yes
26,No
27,No
28,Yes
29,No
30,No
31,No
32,No
33,No
34,No
35,No
36,No
37,No
38,No
39,No
40,Yes
41,No
42,Yes
43,No
44,No
45,No
46,No
47,No
48,No
49,No
50,No
51,No
52,No
53,No
54,No
55,No
56,No
57,Yes
58,Yes
59,No
60,No
61,No
62,No
63,Yes
64,No
65,No
66,No
67,No
68,No
69,No
70,Yes
71,No
72,Yes
73,No
74,No
75,No
76,No
77,No
78,No
79,No
80,No
81,No
82,No
83,No
84,Yes
85,No
86,No
87,Yes
88,No
89,No
90,No
91,No
92,Yes
93,No
94,No
95,No
96,No
97,No
98,No
99,No
100,Yes
101,Yes
102,No
103,Yes
104,No
105,Yes
106,No
107,No
108,No
109,Yes
110,No
111,No
112,No
113,Yes
114,No
115,No
116,Yes
117,No
118,No
119,No
120,No
121,No
122,No
123,Yes
124,Yes
125,No
126,No
127,No
128,No
129,No
130,No
131,No
132,No
133,No
134,No
135,No
136,No
137,No
138,No
139,No
140,No
141,No
142,No
143,No
144,No
145,No
146,No
147,No
148,No
149,No
150,No
151,Yes
152,Yes
153,No
154,No
155,No
156,No
157,Yes
158,No
159,No
160,No
161,Yes
162,Yes
163,No
164,No
165,No
166,No
167,No
168,No
169,No
170,No
171,Yes
172,No
173,No
174,Yes
175,Yes
176,No
177,No
178,No
179,No
180,No
181,No
182,No
183,No
184,No
185,No
186,No
187,No
188,No
189,Yes
190,No
191,Yes
192,No
193,No
194,Yes
195,Yes
196,No
197,No
198,No
199,No
200,Yes
201,No
202,No
203,Yes
204,No
205,No
206,No
207,No
208,No
209,Yes
210,Yes
211,No
212,No
213,No
214,No
215,Yes
216,Yes
217,No
218,Yes
219,No
220,No
221,No
222,No
223,No
224,No
225,No
226,Yes
227,No
228,No
229,No
230,No
231,No
232,No
233,No
234,No
235,No
236,Yes
237,No
238,Yes
239,No
240,No
241,Yes
242,No
243,No
244,No
245,No
246,No
247,No
248,No
249,No
250,No
251,No
252,No
253,No
254,No
255,No
256,No
257,No
258,No
259,No
260,Yes
261,No
262,No
263,No
264,No
265,No
266,No
267,No
268,No
269,No
270,No
271,No
272,No
273,No
274,No
275,No
276,Yes
277,No
278,Yes
279,No
280,No
281,No
282,No
283,No
284,No
285,No
286,No
287,No
288,No
289,No
290,No
291,Yes
292,No
293,No
294,No
295,No
296,No
297,No
298,No
299,No
300,No
301,No
302,No
303,No
304,No
305,Yes
306,No
307,No
308,No
309,No
